plot,plotID,habitat,ranch,bdffp_reserve_no,HA_ID_Number,tag_number,row,column,x_09,y_09,year,ht,shts,code.notes,infl
NA,CF-1,CF,Esteio-Colosso,1301,6094,314,E,4,6,7.1,2000,96,3,NA,0
5754,FF-7,10-ha,PortoAlegre,3209,8333,825,B,7,NA,NA,2003,38,3,ULY (3),0
5754,FF-7,10-ha,PortoAlegre,3209,7958,352,E,2,NA,NA,2004,19,2,NA,0
5751,FF-3,1-ha,Esteio-Colosso,1104,2197,29,C,3,4.3,1.95,2005,29,2,NA,0
2107,FF-1,1-ha,Dimona,2107,307,318,E,1,0.1,7.5,2000,NA,NA,NA,NA
NA,CF-1,CF,Esteio-Colosso,1301,6105,325,E,4,8.8,9.5,2006,48,3,NA,NA
5750,CF-2,CF,Esteio-Colosso,1501,1461,606,G,9,8.3,2.9,2002,8,1,NA,0
2107,FF-1,1-ha,Dimona,2107,149,156,E,1,4.4,5,2008,10,1,NA,NA
5756,CF-3,CF,Esteio-Colosso,1501,4346,547,B,4,NA,NA,2001,NA,NA,NA,NA
5750,CF-2,CF,Esteio-Colosso,1501,1636,782,J,10,NA,NA,2008,NA,NA,NA,NA
5750,CF-2,CF,Esteio-Colosso,1501,1903,1352,C,9,4,5.3,2006,10,1,NA,NA
NA,CF-1,CF,Esteio-Colosso,1301,7273,1908,A,5,9.56,7.3,2005,NA,NA,NA,NA
5752,FF-6,10-ha,Esteio-Colosso,1202,3402,853,D,5,NA,NA,2002,NA,NA,NA,NA
5750,CF-2,CF,Esteio-Colosso,1501,1190,331,D,6,0.6,2.4,2005,68,3,NA,0
NA,CF-1,CF,Esteio-Colosso,1301,6193,413,D,3,0.3,7.8,2000,45,6,NA,0
5756,CF-3,CF,Esteio-Colosso,1501,4412,614,D,3,8.7,0.8,2008,16,2,NA,NA
2206,FF-5,10-ha,Dimona,2206,867,237,C,10,NA,NA,2009,NA,NA,NA,NA
NA,CF-5,CF,PortoAlegre,NA,7537,184,B,7,NA,NA,2007,NA,NA,NA,NA
5750,CF-2,CF,Esteio-Colosso,1501,1574,719,C,6,NA,NA,2004,NA,NA,NA,NA
5756,CF-3,CF,Esteio-Colosso,1501,4606,808,B,5,NA,NA,1998,NA,NA,NA,NA
5752,FF-6,10-ha,Esteio-Colosso,1202,3242,683,C,8,NA,NA,2001,NA,NA,NA,NA
NA,CF-6,CF,PortoAlegre,3402,5352,208,C,7,NA,NA,2005,NA,NA,plant missing (60),NA
5753,FF-4,1-ha,PortoAlegre,3114,3509,117,A,3,7.1,3.7,1999,NA,NA,plant missing (60),NA
5756,CF-3,CF,Esteio-Colosso,1501,4249,450,E,7,NA,NA,2002,29,1,under branchfall (90),0
NA,CF-5,CF,PortoAlegre,NA,7509,151,E,1,NA,NA,2003,17,1,NA,0
